U_LED,I,err_u,err_I
1.81,0.0027045454545454543,0.0,2.2727272727272787e-05
1.7550000000000001,0.0027727272727272726,0.05499999999999993,0.0
1.835,0.0028863636363636366,0.015000000000000123,2.2727272727272787e-05
1.82,0.0029772727272727273,0.010000000000000009,2.2727272727272787e-05
1.805,0.003136363636363636,0.014999999999999902,0.0
1.8250000000000002,0.00325,0.0050000000000000044,2.2727272727272787e-05
1.835,0.003363636363636364,0.004999999999999893,4.545454545454535e-05
1.835,0.0035,0.004999999999999893,0.0
1.8849999999999998,0.003386363636363636,0.05500000000000005,0.0002500000000000002
1.8300000000000003,0.0037727272727272726,0.010000000000000009,4.5454545454545574e-05
1.835,0.0038636363636363634,0.004999999999999893,0.0
1.84,0.0038181818181818182,0.010000000000000009,0.00013636363636363626
1.85,0.004045454545454546,0.020000000000000018,4.5454545454545574e-05
1.8399999999999999,0.00425,0.009999999999999787,2.2727272727272787e-05
1.8249999999999997,0.004454545454545454,0.04499999999999981,0.0002272727272727274
1.85,0.004454545454545454,0.0,0.0
1.855,0.004545454545454545,0.014999999999999902,4.5454545454545574e-05
1.8649999999999998,0.00465909090909091,0.025000000000000022,6.818181818181836e-05
1.8499999999999999,0.004772727272727273,0.0,0.0
1.8599999999999999,0.0047272727272727275,0.010000000000000009,4.5454545454545574e-05
1.855,0.004750000000000001,0.0050000000000000044,2.2727272727272787e-05
1.87,0.004772727272727273,0.050000000000000044,0.0
1.855,0.004750000000000001,0.0050000000000000044,2.2727272727272787e-05
1.83,0.004840909090909092,0.019999999999999907,6.818181818181836e-05
1.865,0.004772727272727273,0.035000000000000135,0.0
1.85,0.004704545454545454,1.1102230246251565e-16,6.818181818181836e-05
1.855,0.004772727272727273,0.0050000000000001155,0.0
1.8399999999999999,0.0047954545454545455,0.009999999999999898,2.2727272727272787e-05
1.8499999999999999,0.004772727272727273,0.0,0.0
